,full_img_path,tube_line,points_lst,cot_stage,comments,tag_time,file_name,directory_name
451,C:\Sunflowers\manual_tagging-master\first_last_imgs\201103_contin_low_R\0340_CROPED_3.jpg,"[(173, 663), (494, 659)]","[(325, 642), (322, 561), (324, 508), (330, 480), (343, 422), (354, 387), (366, 356)]",Open,,1609954741,0340_CROPED_3.jpg,201103_contin_low_R
452,C:\Sunflowers\manual_tagging-master\first_last_imgs\201103_contin_low_R\0340_CROPED_4.jpg,"[(230, 587), (588, 575)]","[(408, 559), (408, 498), (408, 452), (408, 424), (408, 395), (408, 378), (408, 366)]",Open,,1609954754,0340_CROPED_4.jpg,201103_contin_low_R
453,C:\Sunflowers\manual_tagging-master\first_last_imgs\201103_contin_low_R\0340_CROPED_5.jpg,"[(197, 680), (536, 699)]","[(359, 677), (361, 628), (373, 552), (392, 488), (418, 455), (447, 413), (473, 388), (507, 355)]",Open,,1609954772,0340_CROPED_5.jpg,201103_contin_low_R
454,C:\Sunflowers\manual_tagging-master\first_last_imgs\201104_contin_low_L\0016_CROPED_1.jpg,"[(320, 424), (676, 416)]","[(508, 407), (513, 363), (523, 320), (528, 283), (528, 257), (529, 232)]",Closed,,1609954790,0016_CROPED_1.jpg,201104_contin_low_L
455,C:\Sunflowers\manual_tagging-master\first_last_imgs\201104_contin_low_L\0016_CROPED_2.jpg,"[(439, 598), (813, 603)]","[(564, 580), (556, 520), (539, 445), (518, 377), (499, 327), (489, 310)]",Open,,1609954805,0016_CROPED_2.jpg,201104_contin_low_L
456,C:\Sunflowers\manual_tagging-master\first_last_imgs\201104_contin_low_L\0016_CROPED_3.jpg,"[(155, 576), (477, 584)]","[(321, 566), (336, 510), (354, 464), (382, 408), (400, 378), (414, 366)]",Open,,1609954835,0016_CROPED_3.jpg,201104_contin_low_L
457,C:\Sunflowers\manual_tagging-master\first_last_imgs\201104_contin_low_L\0016_CROPED_4.jpg,"[(316, 661), (602, 642)]","[(408, 641), (386, 588), (388, 533), (385, 486), (385, 450), (382, 420)]",Open,,1609954902,0016_CROPED_4.jpg,201104_contin_low_L
458,C:\Sunflowers\manual_tagging-master\first_last_imgs\201104_contin_low_L\0016_CROPED_5.jpg,"[(288, 587), (584, 578)]","[(439, 561), (434, 524), (436, 491), (439, 459), (442, 424), (447, 387)]",Closed,,1609954911,0016_CROPED_5.jpg,201104_contin_low_L
459,C:\Sunflowers\manual_tagging-master\first_last_imgs\201104_contin_low_L\0397_CROPED_1.jpg,"[(318, 427), (678, 419)]","[(457, 406), (424, 342), (391, 294), (349, 250), (306, 213), (240, 170)]",Closed,,1609954931,0397_CROPED_1.jpg,201104_contin_low_L
460,C:\Sunflowers\manual_tagging-master\first_last_imgs\201104_contin_low_L\0397_CROPED_2.jpg,"[(435, 597), (815, 591)]","[(547, 574), (514, 486), (468, 396), (406, 310), (368, 250)]",Open,,1609954941,0397_CROPED_2.jpg,201104_contin_low_L
461,C:\Sunflowers\manual_tagging-master\first_last_imgs\201104_contin_low_L\0397_CROPED_3.jpg,"[(156, 579), (482, 586)]","[(311, 559), (308, 503), (304, 451), (301, 407), (291, 363), (285, 331), (264, 278)]",Open,,1609954953,0397_CROPED_3.jpg,201104_contin_low_L
462,C:\Sunflowers\manual_tagging-master\first_last_imgs\201104_contin_low_L\0397_CROPED_4.jpg,"[(311, 658), (602, 645)]","[(406, 631), (403, 561), (390, 504), (367, 443), (342, 391), (290, 314)]",Open,,1609954962,0397_CROPED_4.jpg,201104_contin_low_L
463,C:\Sunflowers\manual_tagging-master\first_last_imgs\201104_contin_low_L\0397_CROPED_5.jpg,"[(288, 585), (579, 574)]","[(393, 561), (395, 508), (390, 463), (377, 414), (369, 384), (350, 350), (333, 312)]",Closed,,1609954975,0397_CROPED_5.jpg,201104_contin_low_L
464,C:\Sunflowers\manual_tagging-master\first_last_imgs\201104_contin_low_R\0016_CROPED_1.jpg,"[(111, 492), (415, 487)]","[(252, 470), (230, 408), (206, 345), (185, 298), (173, 268)]",Open,,1609954986,0016_CROPED_1.jpg,201104_contin_low_R
465,C:\Sunflowers\manual_tagging-master\first_last_imgs\201104_contin_low_R\0016_CROPED_2.jpg,"[(184, 535), (469, 533)]","[(403, 510), (409, 467), (415, 435), (415, 414)]",Open,,1609955010,0016_CROPED_2.jpg,201104_contin_low_R
466,C:\Sunflowers\manual_tagging-master\first_last_imgs\201104_contin_low_R\0016_CROPED_3.jpg,"[(195, 601), (508, 594)]","[(341, 558), (335, 488), (311, 414), (289, 362), (269, 314), (247, 280)]",Open,,1609955022,0016_CROPED_3.jpg,201104_contin_low_R
467,C:\Sunflowers\manual_tagging-master\first_last_imgs\201104_contin_low_R\0016_CROPED_4.jpg,"[(106, 541), (481, 538)]","[(281, 536), (273, 445)]",Closed,,1609955029,0016_CROPED_4.jpg,201104_contin_low_R
468,C:\Sunflowers\manual_tagging-master\first_last_imgs\201104_contin_low_R\0016_CROPED_5.jpg,"[(252, 737), (592, 757)]","[(417, 741), (410, 679), (410, 620), (408, 577), (406, 539), (404, 501)]",Open,,1609955118,0016_CROPED_5.jpg,201104_contin_low_R
469,C:\Sunflowers\manual_tagging-master\first_last_imgs\201104_contin_low_R\0397_CROPED_1.jpg,"[(106, 484), (418, 480)]","[(283, 472), (289, 429), (299, 398), (312, 365), (328, 336), (342, 315), (351, 295), (372, 276), (387, 257), (407, 232)]",Open,,1609955130,0397_CROPED_1.jpg,201104_contin_low_R
470,C:\Sunflowers\manual_tagging-master\first_last_imgs\201104_contin_low_R\0397_CROPED_2.jpg,"[(181, 545), (472, 547)]","[(415, 511), (446, 458), (479, 410), (524, 358), (567, 325)]",Open,,1609955149,0397_CROPED_2.jpg,201104_contin_low_R
471,C:\Sunflowers\manual_tagging-master\first_last_imgs\201104_contin_low_R\0397_CROPED_3.jpg,"[(196, 608), (512, 602)]","[(343, 558), (323, 479), (309, 386), (310, 292)]",Open,,1609955159,0397_CROPED_3.jpg,201104_contin_low_R
